,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp F,Wind Speed mph
84,Vila Franca do Campo,75,PT,1609622785,87,37.72,-25.43,59.0,23.04
85,São Filipe,22,CV,1609622794,72,14.9,-24.5,76.41,6.22
86,Salym,17,RU,1609622795,84,60.06,71.48,-28.07,4.23
87,Makat,98,KZ,1609622795,94,47.65,53.35,21.67,10.89
88,Tessalit,0,ML,1609622795,24,20.2,1.01,65.03,5.53
89,Golden,0,US,1609622796,24,39.76,-105.22,46.0,5.01
90,Ulagan,74,RU,1609622796,77,50.63,87.96,-16.13,1.97
91,Luwuk,100,ID,1609622783,75,-0.95,122.79,78.39,4.05
92,Aitape,86,PG,1609622796,81,-3.14,142.35,78.37,5.28
93,Leshukonskoye,100,RU,1609622797,94,64.9,45.76,9.46,8.34
94,Wasilla,1,US,1609622797,77,61.58,-149.44,3.2,0.74
95,Te Anau,97,NZ,1609622797,92,-45.42,167.72,51.01,0.98
96,Noumea,0,NC,1609622797,88,-22.28,166.46,82.99,1.12
97,Bilma,0,NE,1609622798,21,18.69,12.92,70.21,6.17
98,Departamento de Maldonado,0,UY,1609622798,34,-34.67,-54.92,80.6,18.34
99,Araouane,0,ML,1609622798,23,18.9,-3.53,67.28,5.32
100,Kulaman,99,PH,1609622798,75,6.46,124.09,78.58,3.38
101,Klyuchi,6,RU,1609622798,84,52.27,79.17,-31.67,4.18
102,Maragogi,0,BR,1609622799,78,-9.01,-35.22,78.8,9.98
103,Shimoda,8,JP,1609622799,81,34.67,138.95,30.99,15.84
104,São Pedro do Sul,20,BR,1609622799,22,-29.62,-54.18,89.6,9.17
105,Samarai,100,PG,1609622799,79,-10.62,150.67,83.14,9.82
106,Kaitangata,100,NZ,1609622800,97,-46.28,169.85,56.35,3.67
107,Umm Kaddadah,48,SD,1609622800,22,13.6,26.69,67.23,13.0
108,Nuevo Progreso,70,MX,1609622800,33,23.17,-97.95,70.0,8.01
109,Maricá,90,BR,1609622801,94,-22.92,-42.82,73.4,16.11
110,Isangel,75,VU,1609622801,88,-19.55,169.27,82.4,9.17
111,Mount Gambier,90,AU,1609622801,93,-37.83,140.77,62.6,12.75
112,Valparaíso,0,CL,1609622802,72,-33.04,-71.63,66.0,9.17
113,Tiznit Province,73,MA,1609622802,76,29.58,-9.5,51.6,5.57
114,Ambon City,40,ID,1609622802,83,-3.7,128.18,78.8,2.24
115,Cayenne,86,GF,1609622802,94,4.93,-52.33,78.8,8.05
116,Nevşehir,0,TR,1609622802,86,38.92,34.67,30.2,3.15
117,Auki,35,SB,1609622803,67,-8.77,160.7,81.37,3.76
118,Kapuskasing,83,CA,1609622803,80,49.42,-82.43,30.2,6.93
119,Esperance,90,AU,1609622784,72,-33.87,121.9,59.0,6.93
120,Shimanovsk,0,RU,1609622804,83,52.0,127.7,-23.1,4.83
121,Tabora,75,TZ,1609622804,88,-5.02,32.8,68.0,1.12
122,New Norfolk,100,AU,1609622804,68,-42.78,147.06,62.01,1.99
123,Knysna,0,ZA,1609622549,85,-34.04,23.05,66.47,5.57
124,Fairbanks,75,US,1609622789,83,64.84,-147.72,-7.01,2.93
125,Ginir,80,ET,1609622805,53,7.13,40.7,58.32,3.94
126,Aripuanã,97,BR,1609622805,80,-9.17,-60.63,78.73,1.7
127,Mahon,20,ES,1609622805,86,39.89,4.27,41.0,6.93
128,Grand Gaube,9,MU,1609622805,73,-20.01,57.66,75.0,5.99
129,Pevek,93,RU,1609622805,84,69.7,170.31,-11.07,2.86
130,Florø,49,NO,1609622806,80,61.6,5.03,35.6,5.82
